year,sex,ethnicity,population,,,,
1980,both,overall,13879.2,,,,13879.2
1980,both,bumi,7926.6,,,,
1980,both,chinese,4460.1,,,,
1980,both,indian,1189.8,,,,
1980,both,other,302.7,,,,
1980,female,overall,6887.2,,,,
1980,female,bumi,3971,,,,
1980,female,chinese,2210.7,,,,
1980,female,indian,575,,,,
1980,female,other,130.5,,,,
1980,male,overall,6992,,,,
1980,male,bumi,3955.7,,,,
1980,male,chinese,2249.4,,,,
1980,male,indian,614.7,,,,
1980,male,other,172.2,,,,
1981,both,overall,14256.9,,,,14256.9
1981,both,bumi,8200.6,,,,
1981,both,chinese,4521.1,,,,
1981,both,indian,1212.7,,,,
1981,both,other,322.5,,,,
1981,female,overall,7068.3,,,,
1981,female,bumi,4100.9,,,,
1981,female,chinese,2240.3,,,,
1981,female,indian,587.5,,,,
1981,female,other,139.6,,,,
1981,male,overall,7188.6,,,,
1981,male,bumi,4099.7,,,,
1981,male,chinese,2280.8,,,,
1981,male,indian,625.2,,,,
1981,male,other,182.9,,,,
1982,both,overall,14651,,,,14651
1982,both,bumi,8489.3,,,,
1982,both,chinese,4581.6,,,,
1982,both,indian,1236.6,,,,
1982,both,other,343.5,,,,
1982,female,overall,7257,,,,
1982,female,bumi,4238.3,,,,
1982,female,chinese,2269.4,,,,
1982,female,indian,600.2,,,,
1982,female,other,149.1,,,,
1982,male,overall,7394,,,,
1982,male,bumi,4251.1,,,,
1982,male,chinese,2312.2,,,,
1982,male,indian,636.4,,,,
1982,male,other,194.3,,,,
1983,both,overall,15048.2,,,,15048.2
1983,both,bumi,8786.6,,,,
1983,both,chinese,4637.7,,,,
1983,both,indian,1259,,,,
1983,both,other,364.9,,,,
1983,female,overall,7447.6,,,,
1983,female,bumi,4380.2,,,,
1983,female,chinese,2296.2,,,,
1983,female,indian,612.2,,,,
1983,female,other,159,,,,
1983,male,overall,7600.6,,,,
1983,male,bumi,4406.4,,,,
1983,male,chinese,2341.6,,,,
1983,male,indian,646.7,,,,
1983,male,other,205.9,,,,
1984,both,overall,15450.3,,,,15450.3
1984,both,bumi,9093.3,,,,
1984,both,chinese,4690.5,,,,
1984,both,indian,1279.9,,,,
1984,both,other,386.6,,,,
1984,female,overall,7640.1,,,,
1984,female,bumi,4526.2,,,,
1984,female,chinese,2321.3,,,,
1984,female,indian,623.7,,,,
1984,female,other,168.9,,,,
1984,male,overall,7810.2,,,,
1984,male,bumi,4567.1,,,,
1984,male,chinese,2369.2,,,,
1984,male,indian,656.2,,,,
1984,male,other,217.7,,,,
1985,both,overall,15882.8,,,,15882.8
1985,both,bumi,9425.7,,,,
1985,both,chinese,4747.2,,,,
1985,both,indian,1301.2,,,,
1985,both,other,408.7,,,,
1985,female,overall,7849.6,,,,
1985,female,bumi,4686.3,,,,
1985,female,chinese,2348.8,,,,
1985,female,indian,635.4,,,,
1985,female,other,179.1,,,,
1985,male,overall,8033.2,,,,
1985,male,bumi,4739.4,,,,
1985,male,chinese,2398.4,,,,
1985,male,indian,665.8,,,,
1985,male,other,229.6,,,,
1986,both,overall,16329.4,,,,16329.4
1986,both,bumi,9774.3,,,,
1986,both,chinese,4800.3,,,,
1986,both,indian,1323.6,,,,
1986,both,other,431.2,,,,
1986,female,overall,8065.4,,,,
1986,female,bumi,4854.3,,,,
1986,female,chinese,2374.1,,,,
1986,female,indian,647.6,,,,
1986,female,other,189.4,,,,
1986,male,overall,8264,,,,
1986,male,bumi,4920,,,,
1986,male,chinese,2426.2,,,,
1986,male,indian,676,,,,
1986,male,other,241.8,,,,
1987,both,overall,16773.4,,,,16773.4
1987,both,bumi,10127.6,,,,
1987,both,chinese,4845.2,,,,
1987,both,indian,1347,,,,
1987,both,other,453.6,,,,
1987,female,overall,8278.7,,,,
1987,female,bumi,5024,,,,
1987,female,chinese,2394.8,,,,
1987,female,indian,660.2,,,,
1987,female,other,199.7,,,,
1987,male,overall,8494.7,,,,
1987,male,bumi,5103.7,,,,
1987,male,chinese,2450.3,,,,
1987,male,indian,686.7,,,,
1987,male,other,254,,,,
1988,both,overall,17219.1,,,,17219.1
1988,both,bumi,10480.5,,,,
1988,both,chinese,4893.4,,,,
1988,both,indian,1368.3,,,,
1988,both,other,476.9,,,,
1988,female,overall,8493.1,,,,
1988,female,bumi,5193.5,,,,
1988,female,chinese,2417.5,,,,
1988,female,indian,671.7,,,,
1988,female,other,210.4,,,,
1988,male,overall,8726,,,,
1988,male,bumi,5287,,,,
1988,male,chinese,2475.9,,,,
1988,male,indian,696.5,,,,
1988,male,other,266.6,,,,
1989,both,overall,17662,,,,17662
1989,both,bumi,10824.5,,,,
1989,both,chinese,4948.4,,,,
1989,both,indian,1387.8,,,,
1989,both,other,501.3,,,,
1989,female,overall,8705.6,,,,
1989,female,bumi,5358.7,,,,
1989,female,chinese,2443.4,,,,
1989,female,indian,682.3,,,,
1989,female,other,221.2,,,,
1989,male,overall,8956.4,,,,
1989,male,bumi,5465.8,,,,
1989,male,chinese,2505,,,,
1989,male,indian,705.5,,,,
1989,male,other,280.1,,,,
1990,both,overall,18102.4,,,,18102.4
1990,both,bumi,11178.6,,,,
1990,both,chinese,4989.9,,,,
1990,both,indian,1408.7,,,,
1990,both,other,525.2,,,,
1990,female,overall,8917.1,,,,
1990,female,bumi,5528.5,,,,
1990,female,chinese,2463.3,,,,
1990,female,indian,693.3,,,,
1990,female,other,232,,,,
1990,male,overall,9185.3,,,,
1990,male,bumi,5650,,,,
1990,male,chinese,2526.7,,,,
1990,male,indian,715.3,,,,
1990,male,other,293.3,,,,
1991,both,overall,18547.2,,,,18547.2
1991,both,bumi_malay,9259.4,,,,
1991,both,bumi_other,1862.7,,,,
1991,both,chinese,5020.9,,,,
1991,both,indian,1406.5,,,,
1991,both,other_citizen,194.7,,,,
1991,both,other_noncitizen,803,,,,
1991,female,overall,9130.7,,,,
1991,female,bumi_malay,4619.3,,,,
1991,female,bumi_other,912.2,,,,
1991,female,chinese,2475.9,,,,
1991,female,indian,696.7,,,,
1991,female,other_citizen,96.6,,,,
1991,female,other_noncitizen,330,,,,
1991,male,overall,9416.5,,,,
1991,male,bumi_malay,4640.2,,,,
1991,male,bumi_other,950.4,,,,
1991,male,chinese,2545,,,,
1991,male,indian,709.8,,,,
1991,male,other_citizen,98.1,,,,
1991,male,other_noncitizen,473,,,,
1992,both,overall,19067.6,,,,19067.6
1992,both,bumi_malay,9518.4,,,,
1992,both,bumi_other,1940.3,,,,
1992,both,chinese,5099,,,,
1992,both,indian,1438.2,,,,
1992,both,other_citizen,209.3,,,,
1992,both,other_noncitizen,862.4,,,,
1992,female,overall,9380.6,,,,
1992,female,bumi_malay,4744.4,,,,
1992,female,bumi_other,951.4,,,,
1992,female,chinese,2510.3,,,,
1992,female,indian,713,,,,
1992,female,other_citizen,103.6,,,,
1992,female,other_noncitizen,357.9,,,,
1992,male,overall,9687,,,,
1992,male,bumi_malay,4773.8,,,,
1992,male,bumi_other,989.1,,,,
1992,male,chinese,2588.7,,,,
1992,male,indian,725.2,,,,
1992,male,other_citizen,105.7,,,,
1992,male,other_noncitizen,504.5,,,,
1993,both,overall,19601.5,,,,19601.5
1993,both,bumi_malay,9784.7,,,,
1993,both,bumi_other,2019,,,,
1993,both,chinese,5181.4,,,,
1993,both,indian,1470,,,,
1993,both,other_citizen,220,,,,
1993,both,other_noncitizen,926.4,,,,
1993,female,overall,9638.1,,,,
1993,female,bumi_malay,4873.4,,,,
1993,female,bumi_other,990.8,,,,
1993,female,chinese,2547.8,,,,
1993,female,indian,729.3,,,,
1993,female,other_citizen,108.8,,,,
1993,female,other_noncitizen,388,,,,
1993,male,overall,9963.4,,,,
1993,male,bumi_malay,4911.2,,,,
1993,male,bumi_other,1028.2,,,,
1993,male,chinese,2633.6,,,,
1993,male,indian,740.7,,,,
1993,male,other_citizen,111.3,,,,
1993,male,other_noncitizen,538.4,,,,
1994,both,overall,20141.8,,,,20141.8
1994,both,bumi_malay,10056.6,,,,
1994,both,bumi_other,2098,,,,
1994,both,chinese,5264.4,,,,
1994,both,indian,1501.8,,,,
1994,both,other_citizen,228.5,,,,
1994,both,other_noncitizen,992.5,,,,
1994,female,overall,9898.8,,,,
1994,female,bumi_malay,5005.5,,,,
1994,female,bumi_other,1030.5,,,,
1994,female,chinese,2585.1,,,,
1994,female,indian,745.7,,,,
1994,female,other_citizen,112.9,,,,
1994,female,other_noncitizen,419.1,,,,
1994,male,overall,10243,,,,
1994,male,bumi_malay,5051,,,,
1994,male,bumi_other,1067.5,,,,
1994,male,chinese,2679.3,,,,
1994,male,indian,756.2,,,,
1994,male,other_citizen,115.6,,,,
1994,male,other_noncitizen,573.4,,,,
1995,both,overall,20681.8,,,,20681.8
1995,both,bumi_malay,10333.5,,,,
1995,both,bumi_other,2175.6,,,,
1995,both,chinese,5345.7,,,,
1995,both,indian,1532.5,,,,
1995,both,other_citizen,236.3,,,,
1995,both,other_noncitizen,1058.2,,,,
1995,female,overall,10160.3,,,,
1995,female,bumi_malay,5140.3,,,,
1995,female,bumi_other,1069.9,,,,
1995,female,chinese,2621.5,,,,
1995,female,indian,761.5,,,,
1995,female,other_citizen,116.8,,,,
1995,female,other_noncitizen,450.3,,,,
1995,male,overall,10521.5,,,,
1995,male,bumi_malay,5193.2,,,,
1995,male,bumi_other,1105.6,,,,
1995,male,chinese,2724.2,,,,
1995,male,indian,771,,,,
1995,male,other_citizen,119.6,,,,
1995,male,other_noncitizen,607.9,,,,
1996,both,overall,21222.6,,,,
1996,both,bumi_malay,10611.3,,,,21222.6
1996,both,bumi_other,2253.6,,,,
1996,both,chinese,5426.3,,,,
1996,both,indian,1563.1,,,,
1996,both,other_citizen,243.9,,,,
1996,both,other_noncitizen,1124.4,,,,
1996,female,overall,10422.3,,,,
1996,female,bumi_malay,5275.5,,,,
1996,female,bumi_other,1109.4,,,,
1996,female,chinese,2657.8,,,,
1996,female,indian,777.2,,,,
1996,female,other_citizen,120.7,,,,
1996,female,other_noncitizen,481.7,,,,
1996,male,overall,10800.3,,,,
1996,male,bumi_malay,5335.8,,,,
1996,male,bumi_other,1144.2,,,,
1996,male,chinese,2768.4,,,,
1996,male,indian,785.8,,,,
1996,male,other_citizen,123.5,,,,
1996,male,other_noncitizen,642.6,,,,
1997,both,overall,21769.3,,,,21769.3
1997,both,bumi_malay,10894.8,,,,
1997,both,bumi_other,2330.4,,,,
1997,both,chinese,5506.7,,,,
1997,both,indian,1594.4,,,,
1997,both,other_citizen,251.4,,,,
1997,both,other_noncitizen,1191.6,,,,
1997,female,overall,10687.3,,,,
1997,female,bumi_malay,5413.5,,,,
1997,female,bumi_other,1148.4,,,,
1997,female,chinese,2694,,,,
1997,female,indian,793.3,,,,
1997,female,other_citizen,124.6,,,,
1997,female,other_noncitizen,513.5,,,,
1997,male,overall,11082,,,,
1997,male,bumi_malay,5481.2,,,,
1997,male,bumi_other,1182,,,,
1997,male,chinese,2812.7,,,,
1997,male,indian,801.1,,,,
1997,male,other_citizen,126.9,,,,
1997,male,other_noncitizen,678.1,,,,
1998,both,overall,22333.6,,,,22333.6
1998,both,bumi_malay,11188.6,,,,
1998,both,bumi_other,2408.2,,,,
